PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_ROOM,PARK_FACIL,Estimate
P02787,KK Nagar,2020,129,5,1,5550290
P00567,Anna Nagar,1712,150,4,0,8132640
P01184,Anna Nagar,1765,28,4,1,8308140
P04181,Karapakkam,1024,46,3,1,2685150
P01221,Anna Nagar,1694,199,4,1,4642360
P09360,Velachery,1688,200,4,0,3094300
P07530,Chrompet,869,30,3,0,3223260
P04603,Karapakkam,1309,131,3,0,2969510
P01306,Chrompet,856,132,3,1,2724710
P08283,Anna Nagar,1571,148,4,1,6552620
P05162,T Nagar,1536,110,4,0,3382340
P09889,Velchery,1749,143,4,1,4286710
P09432,Chrompet,1216,59,4,1,2944720
P01524,KK Nagar,2421,21,6,0,8508220
P07172,Velachery,1590,15,4,1,4445880
P03266,Karapakkam,1557,120,4,1,3145620
P07889,Adyar,1216,190,4,1,3836960
P04431,Karapakkam,1507,174,4,0,3323780
P01797,Karapakkam,1147,162,3,1,3350160
P00268,Chrompet,1142,96,3,0,3716220
P08897,Chrompet,1004,87,3,0,3908600
P04788,Karapakkam,523,38,2,1,2954450
P08215,Chrompet,771,161,2,0,3379550
P03595,KK Nagar,1565,124,4,0,4568430
P01202,Chrompet,1270,99,4,0,3755150
P01297,T Nagar,1975,140,5,0,4373150
P00618,Anna Nagar,1777,168,4,0,5036640
P05952,KK Nagar,2484,138,6,1,6712210
P00102,T Nagar,1975,141,5,1,5215630
P09921,Velachery,1950,93,5,1,5463730
P09040,Chrompet,1193,2,3,1,4311810
P01561,T Nagar,1581,33,4,1,5903320
P03040,Karapakkam,1593,1,4,1,4998210
P01726,Karapakkam,1558,70,4,1,2871980
P08303,KK Nagar,1517,151,4,1,4734910
P08679,Adyar,1279,30,4,0,2730620
P00044,Chrompet,1246,127,4,0,3615960
P03533,Karapakkam,1050,56,3,0,2185760
P04424,Velachery,1888,19,5,1,3255620
P04909,KK Nagar,2400,12,6,1,6392380
P00235,Anna Nagar,1569,167,4,1,3085200
P05419,Karapakkam,1605,198,4,0,3894420
P05054,Chrompet,1280,94,4,1,2637660
P03596,Karapakkam,920,187,3,0,2281130
P07307,T Nagar,1687,35,4,1,4550230
P05807,KK Nagar,1609,3,4,0,3694630
P05815,Karapakkam,1530,29,4,0,2229230
P09586,Velachery,1621,191,4,0,4081790
P07811,Velachery,1852,99,5,0,2906610
P06349,Velachery,1629,190,4,0,2088310
P02253,Karapakkam,1374,154,4,0,3136660
P02795,KK Nagar,2398,52,6,1,6032750
P06160,Karapakkam,664,51,2,0,807920
P00762,Anna Nagar,1704,24,4,1,6231510
P00731,Anna Nagar,1746,21,4,0,4597200
P02460,Karapakkam,1439,20,4,0,3610870
P03135,Chrompet,1283,142,4,1,4185290
P00013,Chrompet,1187,38,3,1,2503200
P02202,Velachery,1742,49,4,1,3210600
P05706,T Nagar,1543,64,4,1,6977780
P06135,Velachery,1807,140,5,0,3116730
P05349,KK Nagar,2104,20,5,1,5632690
P06331,Karapakkam,677,114,2,1,2933330
P03673,Anna Nagar,1744,45,4,0,2974010
P07108,KK Nagar,1502,38,4,0,4475130
P03471,Adyar,701,194,2,1,3074090
P06194,Adyar,808,169,3,0,3393710
P05433,Chrompet,743,186,2,0,2078310
P03263,Chrompet,1065,116,3,1,3014000
P05463,Velachery,1870,179,5,0,3789480
P02095,Adyar,1092,84,3,1,2734660
P04411,Karapakkam,518,32,2,0,1861020
P02266,Anna Nagar,1929,71,5,0,4471480
P04589,Karapakkam,573,65,2,1,2448320
P02187,Adyar,1174,80,3,1,5135940
P03438,Velachery,1665,122,4,1,4260750
P09224,Chrompet,749,106,2,0,2818180
P08410,Adyar,1044,61,3,0,2830250
P09790,Velachery,1693,6,4,1,3627670
P09729,Velachery,1790,126,4,0,3873460
P04857,Karapakkam,566,66,2,1,3746890
P06887,Chrompet,925,90,3,0,3491960
P04640,Karapakkam,914,43,3,1,3587900
P00207,Chrompet,1223,128,4,0,3185820
P03508,Karapakkam,1371,60,4,0,2507860
P05938,Adyar,702,70,2,0,1957700
P03547,Velachery,1509,143,4,1,5246420
P05288,Karapakkam,886,8,2,0,2484090
P05420,Karapakkam,526,75,2,0,1519120
P02326,Adyar,789,17,2,1,4475770
P06785,Velachery,2000,72,5,0,3540430
P07151,Anna Nagar,1644,62,4,0,3229440
P04014,KK Nagar,1545,142,4,0,6467420
P08263,Adyar,1240,130,4,0,3901960
P07365,KK Nagar,2316,193,6,1,6290000
P09960,Velachery,1959,35,5,1,3255360
P02196,Karapakkam,1187,96,3,0,3189590
P07441,Chrompet,1032,10,3,1,2215990
P09069,Velachery,1643,42,4,1,5461230
P05937,Velachery,1591,142,4,1,2534660
P05930,KK Nagar,1742,143,4,0,3849720
P01100,Chrompet,1295,190,4,1,3524680
P03395,Adyar,949,98,3,1,4050210
P07971,KK Nagar,1542,65,4,1,3706590
P04746,Adyar,709,89,2,1,3061980
P08162,Chrompet,809,196,3,1,3367760
P07666,Adyar,607,143,2,1,2865810
P04537,Karapakkam,844,62,2,0,3190300
P03593,T Nagar,1689,71,4,1,4996170
P01054,Anna Nagar,1578,179,4,1,5141460
P07884,Velachery,1914,97,5,1,4757620
P01290,Chrompet,1085,159,3,1,3064300
P00320,T Nagar,1678,38,4,0,4421510
P04621,Karapakkam,1293,24,3,1,2610950
P03877,T Nagar,1534,62,4,1,5407870
P06541,Anna Nagar,1581,13,4,0,3160340
P08952,Chrompet,705,168,2,1,2479390
P04902,Chrompet,1076,51,3,0,2078010
P01800,Velachery,1926,139,5,0,3419940
P08866,T Nagar,1627,52,4,1,4575110
P04898,Karapakkam,822,122,2,0,3241150
P09112,Velachery,1808,170,5,0,3973880
P04962,T Nagar,1626,22,4,1,4134070
P09567,Velachery,1553,160,4,1,4492050
P04072,Karapakkam,870,96,2,1,3545800
P07859,Anna Nagar,1792,155,4,0,4245600
P09852,Velachery,1722,139,4,1,3657540
P09042,T Nagar,1923,48,5,1,5173650
P01141,Chrompet,1070,136,3,0,2653040
P00805,Chrompet,723,181,2,1,2621850
P05860,T Nagar,1902,11,5,1,6240160
P03638,KK Nagar,2026,110,5,0,8422920
P05972,Anna Nagar,1798,34,4,1,3501720
P09829,Velachery,1931,45,5,1,6195300
P07286,KK Nagar,1975,172,5,0,3746780
P01416,Chrompet,1197,33,3,0,2079540
P02104,Adyar,683,98,2,1,3087730
P03028,Karapakkam,1128,197,3,1,3379110
P07450,Chrompet,1151,170,3,1,2058260
P08176,Chrompet,1098,124,3,0,2722320
P06305,Karapakkam,1024,15,3,0,3198390
P01242,Chrompet,1212,28,4,1,4225050
P02341,KK Nagar,1887,80,5,0,3783800
P01842,Karapakkam,889,178,3,1,2173190
P06403,Chrompet,1157,46,3,0,2641530
P07301,Chrompet,753,4,2,1,2487630
P09454,Chrompet,784,158,2,0,2505120
P02514,Adyar,672,195,2,1,2136400
P01440,Adyar,783,160,2,1,3638920
P07960,KK Nagar,1947,75,5,0,3688700
P07390,KK Nagar,1414,61,4,0,3514600
P08137,Adyar,949,168,3,0,4419100
P02599,Velachery,1511,54,4,1,4253890
P07625,KK Nagar,1515,149,4,0,3508510
P07970,T Nagar,1589,104,4,1,4721400
P00038,Anna Nagar,1655,10,4,1,4705910
P07030,Velachery,1576,133,4,1,3319590
P03591,KK Nagar,2500,43,6,0,4270780
P00492,Chrompet,1258,196,4,0,2701560
P05265,Chrompet,948,84,3,1,3592060
P09261,Velachery,1734,134,4,0,3193470
P09858,Velachery,1690,60,4,1,3540560
P04062,Karapakkam,738,108,2,0,2197650
P00260,Chrompet,1168,79,3,1,3973060
P01610,Karapakkam,523,127,2,1,3577820
P05645,KK Nagar,1356,80,4,1,3518140
P00336,Anna Nagar,1867,178,5,1,5740460
P07797,Velachery,1913,164,5,1,4597500
P02312,Anna Nagar,1905,118,5,0,3733750
P04276,Chrompet,1270,74,4,1,3606160
P05730,Adyar,1283,90,4,1,4853670
P02704,T Nagar,1507,123,4,1,5297980
P00232,Chrompet,821,49,3,0,2342340
P07615,Adyar,758,38,2,0,3006010
P06795,T Nagar,1937,58,5,0,4495610
P06949,Chrompet,1116,80,3,0,2288840
P04559,KK Nagar,1527,84,4,0,3909760
P05689,KK Nagar,1551,67,4,1,5428390
P04881,T Nagar,1729,72,4,0,5743980
P05848,Karapakkam,1462,53,4,1,3295160
P05839,Velachery,1645,81,4,1,3861600
P04496,Velachery,1918,161,5,1,5160950
P08638,T Nagar,1872,35,5,0,8246200
P09949,Velachery,1933,100,5,1,3465000
P09995,Velachery,1607,193,4,1,3372170
P08243,KK Nagar,1510,190,4,0,3452890
P02538,Velachery,1817,156,5,0,3718940
P07590,Anna Nagar,1527,68,4,1,2884590
P00710,Anna Nagar,1933,100,5,1,6137000
P02942,Adyar,1279,5,4,1,2947810
P03092,Karapakkam,907,3,3,1,2453920
P07694,KK Nagar,1405,1,4,1,3233290
P03788,Karapakkam,1129,40,3,0,2998300
P08111,Velachery,1603,87,4,1,3129500
P09810,Velachery,1963,74,5,0,4332350
P06309,Anna Nagar,1997,86,5,0,4944720
P02728,Adyar,939,49,3,1,3818970
P07655,Adyar,905,59,3,1,4515320
P00124,Chrompet,1292,8,4,1,3215850
P02546,Velachery,1703,131,4,0,4898680
P08013,T Nagar,1878,143,5,0,8509260
P01044,Anna Nagar,1534,94,4,1,3006290
P02295,Adyar,747,60,2,1,3244900
P10011,Velachery,1949,169,5,0,4424780
P08259,Chrompet,1011,52,3,0,2709140
P01716,Adyar,740,130,2,1,2807240
P04251,Karapakkam,629,89,2,0,1232180
P08497,Velachery,1730,72,4,0,4942820
P00835,Chrompet,703,77,2,0,2619590
P00996,Chrompet,1209,48,4,1,2507490
P09897,Velachery,1561,171,4,1,3483870
P05993,KK Nagar,2400,197,6,0,7219800
P09757,Velachery,1589,62,4,1,3311060
P04654,KK Nagar,1390,58,4,1,5108550
P03643,Chrompet,883,185,3,0,3189660
P05939,KK Nagar,2423,113,6,0,7102720
P01192,Anna Nagar,1895,197,5,1,4675720
P03238,Chrompet,1201,27,4,0,4249390
P05146,Karapakkam,1092,68,3,0,4420910
P07037,T Nagar,1658,159,4,0,3981540
P07214,KK Nagar,1547,10,4,0,6321020
P01461,Adyar,1162,19,3,1,3613490
P01648,Karapakkam,1401,42,4,0,2036710
P02175,KK Nagar,1558,182,4,0,5664750
P04120,Karapakkam,909,70,3,0,2237540
P05988,Adyar,957,141,3,0,3573890
P05721,Karapakkam,1664,137,4,1,4171680
P04464,Anna Nagar,1650,178,4,0,5134030
P01630,Karapakkam,881,15,2,0,2034380
P00091,Chrompet,746,18,2,1,2678280
P09356,Chrompet,1053,110,3,0,2724280
P02683,Karapakkam,1211,188,3,0,2866960
P03759,Anna Nagar,1990,181,5,0,3546750
P06093,Chrompet,1300,198,4,0,2996110
P03388,Velachery,1655,0,4,1,4703560
P09467,Adyar,710,177,2,0,1778910
P09859,Velachery,1884,189,5,0,2882040
P09609,Velachery,1520,153,4,1,3807590
P04896,KK Nagar,1498,160,4,1,4724160
P05949,Anna Nagar,1892,122,5,1,3999570
P02002,Karapakkam,638,5,2,1,1997570
P06714,Chrompet,780,88,2,0,3133280
P08095,Anna Nagar,1942,49,5,0,3654930
P01638,Karapakkam,1424,171,4,0,4106510
P00202,Chrompet,1225,126,4,1,2809000
P01621,Chrompet,1248,13,4,0,3005420
P09424,Velachery,1773,190,4,1,3451450
P00490,Chrompet,857,38,3,1,3729970
P04205,Karapakkam,1640,89,4,1,4461210
P02379,KK Nagar,2396,61,6,1,4381180
P06620,Karapakkam,1626,10,4,0,4677900
P09646,Velachery,1553,187,4,0,4464110
P05688,KK Nagar,1317,182,3,1,4008570
P08878,Chrompet,759,59,2,0,2251520
P01466,T Nagar,1799,160,4,1,3072780
P01940,Karapakkam,900,145,3,0,2285690
P09840,Velachery,1859,2,5,0,4537650
P03990,Chrompet,1077,83,3,1,4525750
P09602,Velachery,1670,163,4,1,3241980
P09774,Velachery,1922,103,5,1,3562740
P06268,Chrompet,920,94,3,0,2373380
P04017,Karapakkam,1244,15,3,0,2767170
P06385,Karapakkam,1356,132,4,0,5007380
P00024,Chrompet,985,155,3,1,2970920
P02663,Velachery,1908,88,5,0,3672900
P03312,Velachery,1932,76,5,1,4058440
P04039,Chrompet,1022,162,3,1,3456440
P08623,Adyar,1106,163,3,1,2500920
P02068,Adyar,1268,142,4,1,4831550
P00985,Anna Nagar,1630,175,4,1,5526870
P01659,Velachery,1500,9,4,0,3879160
P00104,Anna Nagar,1594,171,4,1,6421850
P02958,KK Nagar,1858,200,5,1,5736490
P07934,Chrompet,1237,197,4,1,5053020
P00440,Chrompet,1292,69,4,1,4378120
P02043,Chrompet,985,95,3,0,3934960
P04689,Velachery,1540,39,4,1,5305830
P02836,Velachery,1975,80,5,0,3288510
P06335,Velachery,1605,191,4,0,4087470
P08934,Chrompet,1043,80,3,0,2429330
P04671,Anna Nagar,1551,146,4,1,4744700
P05317,Karapakkam,794,191,2,0,1395120
P03701,KK Nagar,1389,116,4,0,3051750
P06070,Anna Nagar,1932,197,5,1,5581110
P08116,Adyar,794,133,2,1,2406690
P05140,Chrompet,1242,40,4,0,2423920
P01373,T Nagar,1752,27,4,1,4030710
P02628,KK Nagar,1603,181,4,1,4364010
P04773,Chrompet,703,61,2,1,2455740
P09842,Velachery,1776,121,4,1,6240580
P03099,KK Nagar,2060,40,5,0,6040370
P09083,Adyar,1077,167,3,1,5302920
P03650,KK Nagar,2189,176,5,0,5754560
P03539,Karapakkam,1104,10,3,1,4326420
P03275,Karapakkam,778,77,2,0,1628190
P03380,KK Nagar,1592,148,4,0,5007500
P03937,Karapakkam,537,77,2,0,2237790
P08991,T Nagar,1761,82,4,0,7209120
P00497,Chrompet,843,96,3,1,3268240
P00592,Chrompet,1108,8,3,1,2840500
P06365,KK Nagar,2183,52,5,0,3432530
P00271,Anna Nagar,1675,150,4,1,3948050
P03477,Adyar,951,82,3,0,2095940
P05922,Chrompet,1021,117,3,0,2955730
P08761,Anna Nagar,1723,111,4,0,4014760
P08734,Velachery,1846,35,5,0,3961210
P08183,Chrompet,732,8,2,0,2160380
P07804,Velachery,1531,169,4,1,5042030
P05385,Karapakkam,560,160,2,0,1915830
P02614,Velachery,1752,1,4,0,3106200
P03042,Karapakkam,1173,182,3,0,3179440
P07999,KK Nagar,2327,95,6,1,5903280
P08510,Velachery,1561,9,4,1,4342420
P00318,Anna Nagar,1825,63,5,0,5087740
P03605,T Nagar,1885,187,5,0,4934750
P00417,T Nagar,1602,12,4,0,6997180
P07324,T Nagar,1934,190,5,1,8511780
P07491,Adyar,1288,48,4,0,3488010
P01969,T Nagar,1803,168,5,0,3441640
P03364,Chrompet,1175,128,3,0,4102310
P04864,Karapakkam,760,139,2,0,1758150
P06176,Karapakkam,1344,68,4,0,4122110
P05545,Karapakkam,1413,154,4,1,4813040
P04265,Velachery,1891,155,5,1,6342100
P09759,Velachery,1766,126,4,0,2509850
P01311,Chrompet,1182,81,3,1,3744350
P08957,Chrompet,1267,49,4,1,3603300
P05178,Karapakkam,1130,24,3,1,3982750
P05903,Karapakkam,961,200,3,0,2520550
P08204,KK Nagar,2434,104,6,1,6228170
P09487,Velachery,1787,151,4,0,2355030
P00333,Chrompet,795,63,2,1,1960060
P04429,Karapakkam,597,135,2,0,1288100
P08606,Adyar,1277,183,4,1,3288510
P08521,T Nagar,1710,61,4,1,6904130
P01348,Chrompet,941,30,3,0,1839380
P09547,Adyar,1202,43,4,0,4640940
P01228,Anna Nagar,1933,42,5,0,4857430
P03920,Karapakkam,1370,99,4,1,3495170
P06086,KK Nagar,1399,125,4,1,6255270
P00059,Chrompet,1189,127,3,0,2156450
P02949,Karapakkam,1046,45,3,0,2790690
P06025,Karapakkam,570,151,2,1,2336690
P03424,T Nagar,1738,103,4,1,4228840
P05089,Adyar,1290,112,4,1,4732940
P00348,Chrompet,830,64,3,0,3017140
P09247,Chrompet,1239,190,4,0,2155560
P04547,T Nagar,1686,54,4,1,4611720
P07493,Anna Nagar,1984,172,5,1,8896310
P07052,Velachery,1521,65,4,0,4209750
P09442,Adyar,1057,170,3,0,4256520
P06829,Anna Nagar,1846,144,5,0,5688620
P06388,Adyar,1212,122,4,0,4032970
P04985,T Nagar,1601,123,4,1,4042120
P02152,Chrompet,926,183,3,0,3147030
P01764,T Nagar,1835,21,5,1,5940870
P02666,Adyar,1267,130,4,1,3778480
P01696,Karapakkam,1131,45,3,1,3230770
P02821,Chrompet,855,115,3,0,3929290
P09878,Velachery,1766,125,4,1,4129050
P03075,Karapakkam,543,99,2,1,2977350
P08563,Adyar,907,31,3,1,2439020
P07271,Adyar,1214,100,4,1,3698690
P03483,Velachery,1924,155,5,1,6528160
P09437,Velachery,1916,39,5,1,3039720
P02491,Anna Nagar,1806,43,5,0,3214940
P04193,Karapakkam,1689,175,4,1,4868030
P09716,Velachery,1960,96,5,0,3722040
P05887,Karapakkam,1354,106,4,1,2511800
P04454,KK Nagar,1551,73,4,1,3290860
P06170,Karapakkam,586,197,2,0,1852620
P03530,KK Nagar,1727,46,4,0,4570060
P09877,Velachery,1984,135,5,1,3121390
P06852,KK Nagar,1920,7,5,0,7490080
P05933,KK Nagar,2037,132,5,1,5072340
P00657,Chrompet,772,39,2,1,2233880
P06748,Chrompet,1288,84,4,0,2665390
P07013,Chrompet,985,60,3,0,2811620
P05649,Chrompet,894,25,3,1,3135350
P06061,Velachery,1537,160,4,1,3407470
P02790,Velachery,1813,110,5,1,3982770
P02410,KK Nagar,1589,54,4,1,4791320
P09249,Anna Nagar,1830,30,5,1,5117040
P09635,Velachery,1625,78,4,1,3845900
P08185,KK Nagar,1857,152,5,1,5092250
P03057,Karapakkam,1002,183,3,1,3057360
P00799,Anna Nagar,1877,47,5,1,5393910
P01960,Anna Nagar,1511,33,4,0,7120860
P06526,Adyar,755,60,2,0,2906420
P04692,Karapakkam,877,177,2,1,2326540
P01304,Chrompet,1090,103,3,0,4310780
P05581,Velachery,1684,4,4,0,4225020
P07533,Chrompet,989,104,3,0,2098640
P06659,Anna Nagar,1598,78,4,0,3386100
P03632,Karapakkam,1333,134,4,0,2341570
P09125,Velachery,1654,64,4,0,2934460
P06024,Chrompet,932,199,3,0,2437310
P08040,Anna Nagar,1870,175,5,0,8117780
P03695,Chrompet,1219,67,4,0,2463380
P04735,Karapakkam,677,37,2,1,3492610
P03843,KK Nagar,2085,72,5,0,7806780
P09133,Adyar,1023,116,3,0,3939500
P01261,T Nagar,1557,1,4,1,4201380
P07336,KK Nagar,1487,187,4,0,3451590
P09251,Velachery,1526,65,4,1,4285540
P08057,Chrompet,829,28,3,0,2040590
P04183,Velachery,1735,33,4,1,4179490
P05828,Karapakkam,537,143,2,1,3285350
P04321,Karapakkam,900,1,3,1,2548650
P06605,KK Nagar,2040,129,5,0,7085340
P02259,Chrompet,1221,69,4,1,3733210
P02766,Karapakkam,1174,67,3,1,2176280
P04539,Chrompet,1216,4,4,0,2484350
P09323,Chrompet,1104,131,3,0,2294680
P01776,T Nagar,1635,112,4,0,4879920
P04169,Karapakkam,1659,33,4,0,3810190
P09334,Adyar,855,152,3,1,2108470
P06849,Adyar,908,169,3,0,2420810
P01547,Karapakkam,1066,68,3,1,3388940
P09667,Velachery,1614,23,4,0,4181670
P05792,Karapakkam,1534,70,4,1,3454540
P02909,KK Nagar,2322,93,6,0,5636440
P01540,Karapakkam,838,57,2,1,2840680
P02224,Chrompet,826,83,3,0,2401150
P08378,Anna Nagar,1960,95,5,0,4026660
P09647,Velachery,1702,196,4,0,5206340
P09752,Velachery,1819,188,5,0,2892990
P05337,Karapakkam,534,111,2,0,1632960
P09532,Velachery,1807,153,5,0,3304650
P01637,KK Nagar,1551,14,4,0,4316000
P04036,Chrompet,1264,91,4,1,3385420
P05462,Karapakkam,1237,139,3,1,4181500
P09955,Velachery,1567,30,4,1,4965380
P07991,Chrompet,1245,150,4,0,3282690
P05982,Chrompet,787,0,2,1,2890270
P00547,Chrompet,813,167,3,0,2465920
P09045,Anna Nagar,1864,127,5,0,4123470
P05977,KK Nagar,2414,168,6,0,5639280
P09331,Velachery,1738,11,4,0,3146800
P06474,Karapakkam,763,44,2,0,2534200
P00365,Chrompet,1021,83,3,1,2970210
P09641,Velachery,1846,197,5,1,3232800
P06362,Anna Nagar,1783,124,4,1,3851260
P06140,Chrompet,1194,32,3,0,2526020
P00077,Chrompet,1060,166,3,0,2795080
P02277,Anna Nagar,1757,15,4,1,4352940
P03390,KK Nagar,1646,26,4,1,6763680
P03402,Anna Nagar,1877,71,5,1,4769130
P04776,Anna Nagar,1537,133,4,0,4146420
P00540,Chrompet,721,52,2,0,2307960
P09587,Velachery,1552,52,4,1,4228210
P00313,T Nagar,1962,171,5,0,5231140
P01300,Chrompet,782,96,2,0,1716900
P07577,Velachery,1703,4,4,1,5292600
P03039,KK Nagar,1555,134,4,1,4087380
P05207,Karapakkam,801,174,2,1,2645450
P09494,Chrompet,751,19,2,0,2964470
P08403,Chrompet,771,72,2,1,2521700
P06502,Karapakkam,944,128,3,0,2380770
P06493,Karapakkam,1333,11,4,1,4658620
P00672,Chrompet,1284,166,4,1,3554350
P07302,Anna Nagar,1844,100,5,1,5340320
P09543,Chrompet,958,148,3,0,2059240
P04767,Karapakkam,1588,116,4,1,3985700
P00619,Anna Nagar,1621,163,4,1,3569280
P01077,Chrompet,732,37,2,1,2560500
P07886,Chrompet,725,175,2,0,1863020
P01870,Chrompet,995,59,3,0,3732480
P04065,T Nagar,1690,89,4,0,7543150
P00436,Anna Nagar,1578,59,4,0,3966520
P02284,T Nagar,1962,171,5,1,4837490
P06897,Adyar,1221,55,4,0,4387710
P08502,T Nagar,1747,76,4,1,5814590
P09678,Velachery,1756,24,4,0,2823300
P02345,Karapakkam,1311,188,3,0,3201700
P09644,Velachery,1712,136,4,0,3968220
P04488,Karapakkam,1292,19,3,1,2184750
P09096,Anna Nagar,1751,26,4,1,3554610
P04030,KK Nagar,2049,171,5,1,5861200
P08949,Chrompet,1247,34,4,1,2744730
P08218,Velachery,1607,171,4,1,3096950
P03375,Karapakkam,1185,165,3,1,3621040
P00946,Chrompet,901,46,3,1,2777650
P08398,Adyar,1250,185,4,0,5186050
P08993,Anna Nagar,1804,22,5,0,4107180
P03514,Karapakkam,1419,102,4,0,3170400
P02315,Karapakkam,862,110,2,1,2069860
P02610,Karapakkam,982,188,3,1,2347190
P01214,Anna Nagar,1759,188,4,0,4400260
P06059,KK Nagar,1380,10,4,1,4330380
P00462,Chrompet,993,73,3,1,3314940
P06921,Adyar,1164,66,3,0,4667890
P06800,Chrompet,798,162,2,1,1917130
P04267,Velachery,1510,161,4,0,3642200
P00179,T Nagar,1968,44,5,0,6616050
P01729,Karapakkam,1555,169,4,0,3998560
P03269,Karapakkam,1247,194,3,1,3580170
P02808,Adyar,1300,44,4,0,3365220
P00349,Chrompet,768,125,2,1,1963440
P05032,KK Nagar,1555,123,4,1,6137450
P09747,Velachery,1703,157,4,1,3963340
P10020,Velachery,1674,100,4,0,4862660
P07162,Chrompet,1158,34,3,0,3281590
P04166,Adyar,1051,184,3,0,3861430
P06777,KK Nagar,2490,43,6,1,4407870
P05497,Karapakkam,1236,59,3,0,2165970
P08354,Adyar,1266,17,4,1,4887880
P02912,Chrompet,1092,124,3,0,2128880
P06021,Karapakkam,1566,149,4,0,3669490
P09364,Anna Nagar,1668,187,4,0,4740560
P00693,T Nagar,1602,194,4,1,6309830
P00605,Chrompet,1184,89,3,0,3286600
P04149,Adyar,1266,48,4,0,2712310
P03647,Adyar,1054,138,3,1,3435930
P09228,Anna Nagar,1693,15,4,0,4506670
P03742,Karapakkam,593,57,2,1,2540740
P04327,T Nagar,1923,195,5,0,7326480
P09982,Velachery,1502,28,4,0,4419760
P08632,Chrompet,1121,0,3,0,2208280
P01126,T Nagar,1768,24,4,0,3352600
P03480,KK Nagar,1726,133,4,1,3205960
P04361,Chrompet,1091,137,3,1,2730570
P08349,Chrompet,1196,49,3,1,2842810
P04425,Adyar,1232,128,4,1,3883900
P09455,Velachery,1725,195,4,1,3876970
P03095,Adyar,907,102,3,1,3024220
P04349,KK Nagar,1947,55,5,1,5293030
P08219,Adyar,997,52,3,0,2413170
P04517,Karapakkam,1244,25,3,1,1994480
P00523,Chrompet,1279,18,4,1,4103050
P07874,KK Nagar,2420,153,6,0,5463090
P09907,Velachery,1615,123,4,0,3577390
P05273,KK Nagar,1458,183,4,0,4044000
P08515,Anna Nagar,1568,28,4,1,4780510
P04996,KK Nagar,2278,178,6,1,5892810
P04155,Karapakkam,1064,102,3,0,2330360
P09535,Chrompet,925,12,3,0,3317660
P07983,Chrompet,951,118,3,1,3045610
P07289,Chrompet,1105,75,3,0,2101750
P02058,T Nagar,1943,59,5,0,4406320
P08222,KK Nagar,1384,106,4,1,4457380
P00923,Anna Nagar,1872,126,5,1,5736270
P09081,Chrompet,1267,93,4,1,3091940
P04495,Karapakkam,636,200,2,1,2015060
P04133,Chrompet,883,94,3,1,2714310
P08946,Chrompet,826,89,3,0,2275390
P06224,Velachery,1646,58,4,0,2689510
P04469,Chrompet,1080,112,3,0,2048630
P01839,T Nagar,1543,182,4,0,4597670
P01436,Chrompet,971,176,3,1,3707320
P04224,Karapakkam,607,28,2,0,1974100
P04313,Karapakkam,1512,114,4,1,3203650
P00208,Chrompet,794,162,2,0,1919070
P04491,Karapakkam,1685,125,4,0,4124980
P09160,Velachery,1959,46,5,1,5193380
P04937,Chrompet,1046,96,3,1,2934280
P08542,Chrompet,997,92,3,0,3609750
P01040,Chrompet,743,146,2,1,1719940
P00206,Chrompet,845,74,3,1,2369530
P01945,Chrompet,848,118,3,1,2799850
P07148,Velachery,1884,55,5,0,3142250
P04097,Chrompet,849,52,3,0,2446920
P03434,Chrompet,1265,98,4,1,4645350
P00437,Anna Nagar,1760,153,4,0,3419170
P06956,Chrompet,905,30,3,0,2131280
P05376,Karapakkam,1453,130,4,0,4107720
P02731,Adyar,1247,153,4,1,2720130
P07895,Anna Nagar,1731,34,4,0,3588310
P03804,Chrompet,758,179,2,1,1875140
P05220,Velachery,1569,59,4,0,5219170
P08555,Chrompet,825,80,3,1,2364900
P03209,KK Nagar,1369,56,4,1,3935180
P01819,KK Nagar,2027,151,5,1,4713320
P07646,KK Nagar,1773,100,4,0,3504570
P00344,Chrompet,774,180,2,0,2761020
P04587,KK Nagar,1708,183,4,0,4329710
P09753,Velachery,1792,24,4,0,2881070
P08425,Adyar,1112,135,3,1,2946860
P05084,Karapakkam,1246,177,3,0,2664830
P03563,Chrompet,931,138,3,0,1939160
P01594,Karapakkam,983,186,3,0,2554500
P02339,KK Nagar,1631,21,4,1,4129740
P05555,Adyar,697,39,2,0,2875510
P04721,Adyar,681,198,2,0,2214870
P04093,Chrompet,1050,130,3,1,2777840
P08089,Anna Nagar,1870,58,5,0,3763810
P09378,Adyar,931,154,3,0,2600940
P07421,Anna Nagar,1703,198,4,0,3148260
P01759,Karapakkam,877,195,2,0,2882000
P07167,Adyar,722,127,2,1,3278610
P08437,Chrompet,762,119,2,0,2330310
P04886,Velachery,1510,138,4,1,2879480
P01479,Adyar,749,51,2,0,2639360
P02773,T Nagar,1840,76,5,0,4813260
P08470,Chrompet,784,6,2,1,3325260
P02635,Velachery,1699,30,4,0,4359200
P07872,Anna Nagar,1761,86,4,0,6110390
P03756,Adyar,700,2,2,1,3833440
P09216,Chrompet,830,178,3,1,1797460
P05141,Chrompet,834,158,3,0,2547200
P01509,KK Nagar,1305,4,3,1,5108390
P09721,Velachery,1653,91,4,1,5067270
P06471,Karapakkam,1351,162,4,0,3944710
P07114,Velachery,1576,127,4,1,3706430
P07201,Chrompet,796,24,2,1,2443690
P07279,Anna Nagar,1971,74,5,1,4447210
